[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[01/06/20, 9:55:24 PM] $h@lin!: I can’t hear
[01/06/20, 9:55:42 PM] Mr. Buddy: Really man
[01/06/20, 9:55:45 PM] Mr. Buddy: Didn't see news
[01/06/20, 9:55:46 PM] $h@lin!: Noooo
[01/06/20, 9:55:49 PM] $h@lin!: No
[01/06/20, 9:55:58 PM] $h@lin!: But it got hidden somewhere 😰
[01/06/20, 9:56:01 PM] Mr. Buddy: Rajasthan people has syltarted selling locust biryani
[01/06/20, 9:56:05 PM] $h@lin!: Dnt know where it gone
[01/06/20, 9:56:16 PM] $h@lin!: 😳
‎[01/06/20, 9:56:37 PM] Mr. Buddy: ‎image omitted
[01/06/20, 9:56:43 PM] Mr. Buddy: See
[01/06/20, 9:56:58 PM] Mr. Buddy: I think locust os good for health
[01/06/20, 9:57:00 PM] $h@lin!: I’m feeling like vomitinh
[01/06/20, 9:57:08 PM] $h@lin!: Chi
[01/06/20, 9:57:11 PM] $h@lin!: Who ll eat
[01/06/20, 9:57:11 PM] Mr. Buddy: No man really I think it's good
[01/06/20, 9:57:13 PM] $h@lin!: Chinese
[01/06/20, 9:57:20 PM] $h@lin!: Go and eat
[01/06/20, 9:57:23 PM] Mr. Buddy: YouTube now full of locust recipie only
[01/06/20, 9:57:36 PM] Mr. Buddy: I'll eat if I get chance
[01/06/20, 9:57:48 PM] $h@lin!: What!!!!!!
[01/06/20, 9:57:51 PM] Mr. Buddy: Atleast have to get how does it taste
[01/06/20, 9:57:52 PM] $h@lin!: What happened to u
[01/06/20, 9:57:58 PM] $h@lin!: No man
[01/06/20, 9:58:04 PM] $h@lin!: Dnt eat
[01/06/20, 9:58:11 PM] Mr. Buddy: I will eat
[01/06/20, 9:58:15 PM] $h@lin!: What if u turn to something
[01/06/20, 9:58:29 PM] Mr. Buddy: I'll turn into locust man
[01/06/20, 9:58:34 PM] $h@lin!: 🤮
‎[01/06/20, 9:58:41 PM] Mr. Buddy: ‎GIF omitted
[01/06/20, 9:58:44 PM] $h@lin!: Then to whom I buy PS4
[01/06/20, 9:58:52 PM] $h@lin!: Expectation
[01/06/20, 9:59:00 PM] Mr. Buddy: No need ps4
‎[01/06/20, 9:59:04 PM] $h@lin!: ‎GIF omitted
[01/06/20, 9:59:19 PM] Mr. Buddy: Buy and give ps5 when it is released 👻👻
[01/06/20, 9:59:30 PM] Mr. Buddy: This is grasshopper
[01/06/20, 9:59:33 PM] $h@lin!: U said u dnt want know
[01/06/20, 9:59:40 PM] $h@lin!: No
[01/06/20, 9:59:42 PM] Mr. Buddy: Ok I want
‎[01/06/20, 9:59:57 PM] $h@lin!: ‎GIF omitted
[01/06/20, 10:00:12 PM] $h@lin!: U said we ll not be this close after some years
[01/06/20, 10:00:17 PM] $h@lin!: Blah blah
[01/06/20, 10:00:28 PM] $h@lin!: Then how can I buy🤔
[01/06/20, 10:00:29 PM] Mr. Buddy: You buy now
[01/06/20, 10:00:37 PM] $h@lin!: Now and all I can’t
[01/06/20, 10:00:42 PM] $h@lin!: After 10years
[01/06/20, 10:00:44 PM] Mr. Buddy: Later we will stop talking
[01/06/20, 10:00:45 PM] $h@lin!: For ur kid
[01/06/20, 10:00:58 PM] $h@lin!: Will murder u
[01/06/20, 10:01:11 PM] $h@lin!: Stop being like a kid
[01/06/20, 10:01:26 PM] Mr. Buddy: What did I so
[01/06/20, 10:01:26 PM] $h@lin!: 😡
[01/06/20, 10:01:30 PM] Mr. Buddy: Do
[01/06/20, 10:01:37 PM] $h@lin!: 😡
[01/06/20, 10:01:54 PM] Mr. Buddy: U said na
[01/06/20, 10:02:10 PM] $h@lin!: I said because u said it first
[01/06/20, 10:02:24 PM] Mr. Buddy: No because u wnated to
[01/06/20, 10:02:40 PM] $h@lin!: My parents still have there childhood friends, colleagues in touch
[01/06/20, 10:02:49 PM] $h@lin!: Ohhh
[01/06/20, 10:03:00 PM] $h@lin!: I wanted to stop talking?!
[01/06/20, 10:03:11 PM] Mr. Buddy: It's not about tgat shalini
[01/06/20, 10:03:16 PM] Mr. Buddy: I dunno
[01/06/20, 10:03:29 PM] $h@lin!: Ok then we will get married
[01/06/20, 10:03:33 PM] $h@lin!: 🤣🤣🤣🤣
[01/06/20, 10:03:40 PM] Mr. Buddy: Why do you have a dog pic in dp
‎[01/06/20, 10:03:45 PM] $h@lin!: ‎GIF omitted
[01/06/20, 10:04:07 PM] Mr. Buddy: Why r u laughing
[01/06/20, 10:04:07 PM] $h@lin!: Because 🧐 I dnt know
[01/06/20, 10:04:15 PM] $h@lin!: For this
[01/06/20, 10:04:33 PM] Mr. Buddy: Hmmm
[01/06/20, 10:04:44 PM] $h@lin!: 🤣🤣🤣🤣🤣🤣
[01/06/20, 10:05:20 PM] Mr. Buddy: S
[01/06/20, 10:05:21 PM] Mr. Buddy: H
[01/06/20, 10:05:22 PM] Mr. Buddy: A
[01/06/20, 10:05:22 PM] $h@lin!: Why u not feeling to laugh?
[01/06/20, 10:05:24 PM] Mr. Buddy: L
[01/06/20, 10:05:24 PM] Mr. Buddy: I
[01/06/20, 10:05:26 PM] Mr. Buddy: N
[01/06/20, 10:05:27 PM] Mr. Buddy: I
[01/06/20, 10:05:30 PM] $h@lin!: Y
[01/06/20, 10:05:31 PM] $h@lin!: E
[01/06/20, 10:05:33 PM] $h@lin!: S
[01/06/20, 10:06:04 PM] $h@lin!: Wait
[01/06/20, 10:06:07 PM] Mr. Buddy: 👻
[01/06/20, 10:06:11 PM] $h@lin!: Have u drunken?
[01/06/20, 10:06:18 PM] Mr. Buddy: What no
[01/06/20, 10:06:23 PM] $h@lin!: 🧐
[01/06/20, 10:06:29 PM] $h@lin!: Smelly smelly
[01/06/20, 10:06:35 PM] $h@lin!: Not taken bath
[01/06/20, 10:07:00 PM] Mr. Buddy: Ok
[01/06/20, 10:07:15 PM] Mr. Buddy: If smelly then don't talk
[01/06/20, 10:07:44 PM] $h@lin!: 🤨
[01/06/20, 10:08:05 PM] $h@lin!: It’s fine.. I can bear with it
[01/06/20, 10:08:11 PM] $h@lin!: Dude
[01/06/20, 10:08:28 PM] $h@lin!: Relax...
[01/06/20, 10:08:48 PM] Mr. Buddy: U don't have bear
[01/06/20, 10:09:00 PM] $h@lin!: U are there know😂
[01/06/20, 10:09:02 PM] Mr. Buddy: 😠
[01/06/20, 10:09:05 PM] $h@lin!: Teddy bear
[01/06/20, 10:09:10 PM] $h@lin!: 🤣
[01/06/20, 10:09:17 PM] $h@lin!: Why
[01/06/20, 10:09:26 PM] Mr. Buddy: Change the dp
[01/06/20, 10:10:06 PM] $h@lin!: Now?
[01/06/20, 10:10:15 PM] Mr. Buddy: No
[01/06/20, 10:11:00 PM] $h@lin!: Now?
[01/06/20, 10:11:32 PM] Mr. Buddy: Ok
[01/06/20, 10:11:49 PM] $h@lin!: Just ok?
[01/06/20, 10:12:20 PM] Mr. Buddy: He he
[01/06/20, 10:12:35 PM] Mr. Buddy: When did u take this
[01/06/20, 10:12:47 PM] $h@lin!: Srihari Marriage
[01/06/20, 10:13:01 PM] Mr. Buddy: Ohwwww
[01/06/20, 10:14:30 PM] $h@lin!: Yes
[01/06/20, 10:15:00 PM] $h@lin!: U we’re not there?
[01/06/20, 10:15:01 PM] Mr. Buddy: Thats ur kid?
[01/06/20, 10:15:09 PM] $h@lin!: I dnt know who is that
[01/06/20, 10:15:10 PM] Mr. Buddy: No I didn't come na
[01/06/20, 10:15:15 PM] $h@lin!: Yes
[01/06/20, 10:15:33 PM] $h@lin!: It was on same cloth so Lokesh took that pic
[01/06/20, 10:16:31 PM] Mr. Buddy: Cute
[01/06/20, 10:16:40 PM] $h@lin!: Who Lokesh?
[01/06/20, 10:16:44 PM] $h@lin!: 🤣
[01/06/20, 10:17:32 PM] $h@lin!: https://www.instagram.com/p/BZolp9Vhl809DlzkQx1mVsRo5SH5XQ0dn4J22I0/?igshid=103yyxsh153mh
[01/06/20, 10:17:55 PM] Mr. Buddy: Yes
[01/06/20, 10:17:58 PM] Mr. Buddy: Not u
[01/06/20, 10:18:08 PM] $h@lin!: What!!🤨
[01/06/20, 10:18:34 PM] $h@lin!: Can u open?? Because my account is private
‎[01/06/20, 10:19:02 PM] Mr. Buddy: ‎image omitted
[01/06/20, 10:19:14 PM] $h@lin!: Oh u can’t see then
‎[01/06/20, 10:19:30 PM] $h@lin!: ‎image omitted
[01/06/20, 10:19:58 PM] Mr. Buddy: Nice
[01/06/20, 10:20:35 PM] $h@lin!: ‎You deleted this message.
‎[01/06/20, 10:21:36 PM] $h@lin!: ‎image omitted
[01/06/20, 10:21:37 PM] Mr. Buddy: Embossing🤣
[01/06/20, 10:21:40 PM] Mr. Buddy: Pik lachu
[01/06/20, 10:21:42 PM] $h@lin!: Typo
[01/06/20, 10:21:55 PM] $h@lin!: 3years back
[01/06/20, 10:22:45 PM] Mr. Buddy: Shalini
[01/06/20, 10:24:53 PM] $h@lin!: Yes
[01/06/20, 10:24:59 PM] $h@lin!: Ha
[01/06/20, 10:25:25 PM] Mr. Buddy: Ntg
‎[01/06/20, 10:26:19 PM] $h@lin!: ‎image omitted
‎[01/06/20, 10:26:19 PM] $h@lin!: ‎image omitted
‎[01/06/20, 10:26:19 PM] $h@lin!: ‎image omitted
‎[01/06/20, 10:26:56 PM] $h@lin!: ‎image omitted
[01/06/20, 10:26:46 PM] Mr. Buddy: When was this
[01/06/20, 10:27:44 PM] Mr. Buddy: I think I was there that day on office
[01/06/20, 10:27:46 PM] Mr. Buddy: May be
[01/06/20, 10:27:46 PM] $h@lin!: Marriage day.., in the morning
[01/06/20, 10:28:07 PM] $h@lin!: Yeah remember we came to office ... was in this same dress only
[01/06/20, 10:28:19 PM] $h@lin!: And ur crush also😜
[01/06/20, 10:29:37 PM] $h@lin!: I was quite fat.. u can say fit.. now  I look weak🥺
[01/06/20, 10:29:55 PM] Mr. Buddy: ha green s
[01/06/20, 10:29:57 PM] Mr. Buddy: Dress
[01/06/20, 10:30:05 PM] $h@lin!: Wow see
[01/06/20, 10:30:21 PM] $h@lin!: Dnt get confused
[01/06/20, 10:30:25 PM] $h@lin!: Not Rachana
[01/06/20, 10:30:42 PM] Mr. Buddy: I know
[01/06/20, 10:30:51 PM] Mr. Buddy: Not Rachana
[01/06/20, 10:33:33 PM] $h@lin!: 🧐
[01/06/20, 10:33:50 PM] $h@lin!: How can u forget ur crush
[01/06/20, 10:34:01 PM] Mr. Buddy: Ha
[01/06/20, 10:34:03 PM] Mr. Buddy: Yes
[01/06/20, 10:34:06 PM] Mr. Buddy: How can i
[01/06/20, 10:34:11 PM] $h@lin!: Yeah
[01/06/20, 10:34:28 PM] $h@lin!: 🥺
[01/06/20, 10:34:58 PM] $h@lin!: But u can forget me ha?!
[01/06/20, 10:35:12 PM] Mr. Buddy: I can't
‎[01/06/20, 10:35:57 PM] $h@lin!: ‎GIF omitted
[01/06/20, 10:36:28 PM] Mr. Buddy: Typo
[01/06/20, 10:36:30 PM] Mr. Buddy: I can
[01/06/20, 10:36:36 PM] Mr. Buddy: 😂
[01/06/20, 10:36:40 PM] $h@lin!: Liar
[01/06/20, 10:36:43 PM] $h@lin!: 😡😡😡😡😡😡
[01/06/20, 10:36:46 PM] $h@lin!: Hate you
[01/06/20, 10:37:00 PM] Mr. Buddy: Hate me!?
[01/06/20, 10:37:12 PM] $h@lin!: Yes
[01/06/20, 10:37:15 PM] $h@lin!: Hate you
[01/06/20, 10:37:18 PM] $h@lin!: It’s not typo
[01/06/20, 10:37:37 PM] Mr. Buddy: Really!??
[01/06/20, 10:38:07 PM] $h@lin!: Why so many expressions
[01/06/20, 10:39:16 PM] $h@lin!: U can forget me.. why I can’t hate u🤨
[01/06/20, 10:39:29 PM] $h@lin!: Revenge Macha revenge
[01/06/20, 10:39:52 PM] Mr. Buddy: Ha ha
[01/06/20, 10:39:53 PM] Mr. Buddy: Ok
[01/06/20, 10:40:14 PM] $h@lin!: But really hate you
[01/06/20, 10:40:30 PM] Mr. Buddy: Ok thank u
[01/06/20, 10:40:39 PM] $h@lin!: Why thank you
[01/06/20, 10:41:56 PM] Mr. Buddy: Simply
[01/06/20, 10:42:00 PM] Mr. Buddy: Respect
[01/06/20, 10:42:21 PM] $h@lin!: I don’t want ur bullshit respect
[01/06/20, 10:42:39 PM] Mr. Buddy: Why
[01/06/20, 10:42:59 PM] $h@lin!: Because u are ready to forget me
[01/06/20, 10:43:49 PM] $h@lin!: Just tell me something... what’s the use of begging someone to talk or spend a little time with me when they are not interested
[01/06/20, 10:45:32 PM] $h@lin!: And spending time with someone who likes to spend time with..
[01/06/20, 10:45:45 PM] $h@lin!: Which is u ll choose
[01/06/20, 10:45:54 PM] Mr. Buddy: This
[01/06/20, 10:46:03 PM] $h@lin!: so I’m doing it
[01/06/20, 10:46:14 PM] $h@lin!: And u do so
[01/06/20, 10:46:22 PM] $h@lin!: Then why u worrying so much
[01/06/20, 10:47:51 PM] $h@lin!: I decided something
[01/06/20, 10:48:09 PM] $h@lin!: I had told u that same things ll repeat that’s why I ll not patch it up
[01/06/20, 10:48:59 PM] Mr. Buddy: Arae don't do it again man
[01/06/20, 10:49:01 PM] $h@lin!: Again same routine.. I ll be waiting for him.. he ll not call. If I call he ll say he is tired and it’s late .. sleep
[01/06/20, 10:49:06 PM] $h@lin!: No man
[01/06/20, 10:49:19 PM] $h@lin!: I’m really frustrated listening to same thing again and again
[01/06/20, 10:49:27 PM] Mr. Buddy: Ok leave
[01/06/20, 10:49:30 PM] $h@lin!: U say spend time with him
[01/06/20, 10:49:35 PM] $h@lin!: What the fuck I do??
[01/06/20, 10:49:49 PM] Mr. Buddy: Ok leave chill pilk
[01/06/20, 10:49:50 PM] $h@lin!: I’m trying to get back to it but it’s not
[01/06/20, 10:49:56 PM] $h@lin!: No
[01/06/20, 10:50:01 PM] $h@lin!: I ll say to him
[01/06/20, 10:50:13 PM] Mr. Buddy: No
[01/06/20, 10:50:15 PM] $h@lin!: It’s not going to work out and I need time
[01/06/20, 10:50:22 PM] $h@lin!: Because it’s better not talking only
[01/06/20, 10:50:30 PM] $h@lin!: Simply I have to wait
[01/06/20, 10:50:43 PM] $h@lin!: And get disappointed
[01/06/20, 10:50:59 PM] $h@lin!: And it make it even more worse
[01/06/20, 10:51:08 PM] $h@lin!: Will see once he come back
[01/06/20, 10:51:21 PM] $h@lin!: I’m not going to talk nor continue this
[01/06/20, 10:51:30 PM] $h@lin!: It’s pissing me off eveyday
[01/06/20, 10:51:47 PM] $h@lin!: Just for two days?!
[01/06/20, 10:52:37 PM] $h@lin!: U said know after long time u havespend and blah blah then he also should have know.. I can’t force or beg him to spend time with me
[01/06/20, 10:53:19 PM] $h@lin!: I’m gonna say this and stop it.. at least I dnt have to hope something and get hurt
[01/06/20, 10:54:15 PM] $h@lin!: If he still wants to patch it up.. let him and talk face to face.. then will see and decide
[01/06/20, 10:54:22 PM] $h@lin!: I have made up my mind now
[01/06/20, 10:54:29 PM] $h@lin!: This is I’m going to say
[01/06/20, 10:54:44 PM] Mr. Buddy: No man
[01/06/20, 10:54:46 PM] Mr. Buddy: Wait
[01/06/20, 10:55:05 PM] $h@lin!: Long distance will not work out
[01/06/20, 10:55:27 PM] $h@lin!: And I can’t build the hope and it breaks all the time!
[01/06/20, 10:55:40 PM] $h@lin!: What’s wrong in staying single
[01/06/20, 10:56:02 PM] Mr. Buddy: Arae
[01/06/20, 10:56:10 PM] $h@lin!: I’m saying if he come back will see... but currently without talking to him directly i can’t get back
[01/06/20, 10:56:45 PM] Mr. Buddy: Ok leave it for now
[01/06/20, 10:56:46 PM] $h@lin!: See I belived he has changed but still the same...
[01/06/20, 10:56:55 PM] Mr. Buddy: Talk about something else
[01/06/20, 10:57:04 PM] $h@lin!: I dnt want to go through the old routine again!
[01/06/20, 10:57:14 PM] $h@lin!: I have to clarify this
[01/06/20, 10:57:42 PM] $h@lin!: If it’s that if he come back everything ll be fine then let him come and will talk and decide
[01/06/20, 10:57:54 PM] $h@lin!: I dnt know what are things happened to him
[01/06/20, 10:58:00 PM] $h@lin!: And he ll not share
[01/06/20, 10:58:09 PM] $h@lin!: And I simply consume something
[01/06/20, 10:58:37 PM] $h@lin!: To be safe... I better take time and will see once he is back
[01/06/20, 10:58:41 PM] $h@lin!: Fine?
[01/06/20, 11:00:56 PM] $h@lin!: ‎You deleted this message.
[01/06/20, 11:00:47 PM] Mr. Buddy: I dunno shalini
[01/06/20, 11:00:53 PM] Mr. Buddy: I just dunno
‎[01/06/20, 11:02:25 PM] $h@lin!: ‎image omitted
[01/06/20, 11:02:18 PM] Mr. Buddy: What did u dlt
[01/06/20, 11:02:42 PM] $h@lin!: This one I deleted
[01/06/20, 11:02:57 PM] $h@lin!: Yeah how u know
[01/06/20, 11:03:09 PM] $h@lin!: I’m only confused
[01/06/20, 11:03:15 PM] Mr. Buddy: Ok leave then
[01/06/20, 11:03:18 PM] Mr. Buddy: Don't worry
[01/06/20, 11:03:35 PM] $h@lin!: Now u understand why that fucking ok pisses me off
[01/06/20, 11:03:56 PM] Mr. Buddy: Ha
[01/06/20, 11:04:09 PM] $h@lin!: Ok leave that
[01/06/20, 11:04:14 PM] $h@lin!: What u can do for that
[01/06/20, 11:04:20 PM] $h@lin!: It’s common
[01/06/20, 11:04:50 PM] $h@lin!: But I want to be single like three days back
[01/06/20, 11:05:02 PM] Mr. Buddy: There days back what was there
[01/06/20, 11:05:10 PM] $h@lin!: I was there
[01/06/20, 11:05:27 PM] $h@lin!: Joke?
[01/06/20, 11:06:37 PM] Mr. Buddy: Now also u r thr
[01/06/20, 11:07:06 PM] $h@lin!: I mean without extra headache
[01/06/20, 11:07:33 PM] $h@lin!: Clean and clear
[01/06/20, 11:07:35 PM] Mr. Buddy: I'm headache 🥺🥺🥺🥺🥺
[01/06/20, 11:07:48 PM] $h@lin!: No man not u
[01/06/20, 11:08:02 PM] $h@lin!: U are pain killers 😂
[01/06/20, 11:08:14 PM] $h@lin!: See u make me laugh though I’m angry
[01/06/20, 11:08:31 PM] Mr. Buddy: I'm serious
‎[01/06/20, 11:08:36 PM] Mr. Buddy: ‎sticker omitted
[01/06/20, 11:08:43 PM] $h@lin!: 🤣
[01/06/20, 11:08:51 PM] $h@lin!: Yes Jesus ji
[01/06/20, 11:08:58 PM] $h@lin!: Praise the lord my child
[01/06/20, 11:09:35 PM] Mr. Buddy: I'm your child 🤣
[01/06/20, 11:09:42 PM] Mr. Buddy: 🤣
[01/06/20, 11:09:54 PM] $h@lin!: 🤨
[01/06/20, 11:10:09 PM] $h@lin!: Chruch father ll day this
[01/06/20, 11:10:16 PM] $h@lin!: It means he is ur father?
[01/06/20, 11:10:40 PM] Mr. Buddy: Yes jesus is father
[01/06/20, 11:11:00 PM] $h@lin!: I mean chruch father
[01/06/20, 11:11:05 PM] $h@lin!: Not Jesus
[01/06/20, 11:11:17 PM] Mr. Buddy: Rc
[01/06/20, 11:11:27 PM] $h@lin!: Tv?
[01/06/20, 11:11:31 PM] $h@lin!: Rc*
[01/06/20, 11:11:33 PM] Mr. Buddy: We are adventist
[01/06/20, 11:11:38 PM] Mr. Buddy: Roman catholic
[01/06/20, 11:11:52 PM] $h@lin!: In ur chruch no father?
[01/06/20, 11:11:59 PM] $h@lin!: No sister?
[01/06/20, 11:13:32 PM] Mr. Buddy: Pastor
[01/06/20, 11:13:34 PM] Mr. Buddy: Not father
[01/06/20, 11:14:15 PM] $h@lin!: Like in young sheldon
[01/06/20, 11:14:21 PM] Mr. Buddy: Ha
[01/06/20, 11:15:28 PM] $h@lin!: U haven’t taken me that type of chruch
[01/06/20, 11:15:42 PM] $h@lin!: I have been to RC chruch
‎[01/06/20, 11:16:04 PM] $h@lin!: ‎GIF omitted
[01/06/20, 11:16:09 PM] $h@lin!: Like this
[01/06/20, 11:16:24 PM] Mr. Buddy: Our church also kind of loosk same only
[01/06/20, 11:16:34 PM] $h@lin!: Where u go and lighten the candle
‎[01/06/20, 11:16:58 PM] Mr. Buddy: ‎image omitted
[01/06/20, 11:17:09 PM] Mr. Buddy: That ann all only rc does
[01/06/20, 11:17:11 PM] Mr. Buddy: Paganism
[01/06/20, 11:17:39 PM] $h@lin!: Ur church?
[01/06/20, 11:18:13 PM] $h@lin!: There also that big bell was there like this
[01/06/20, 11:21:16 PM] Mr. Buddy: Ha our churcg
[01/06/20, 11:21:20 PM] Mr. Buddy: Bell yes
[01/06/20, 11:21:57 PM] $h@lin!: They rang on Sunday?
[01/06/20, 11:22:30 PM] $h@lin!: All church looks same
[01/06/20, 11:23:05 PM] Mr. Buddy: We worship on Saturday
[01/06/20, 11:24:34 PM] $h@lin!: U can go to Chruch at anytime?
[01/06/20, 11:25:28 PM] Mr. Buddy: Haa
[01/06/20, 11:37:15 PM] $h@lin!: Means anytime
[01/06/20, 11:37:30 PM] Mr. Buddy: What are you doing
[01/06/20, 11:37:39 PM] $h@lin!: Oh I thought it ll be open for few hours
[01/06/20, 11:37:45 PM] $h@lin!: Working
[01/06/20, 11:37:49 PM] $h@lin!: Weekly view
[01/06/20, 11:37:51 PM] Mr. Buddy: Still
[01/06/20, 11:38:12 PM] $h@lin!: Yeah.. stuck with something so thinking
[01/06/20, 11:38:39 PM] Mr. Buddy: Don't think
[01/06/20, 11:38:43 PM] $h@lin!: I have time till this week end but still! I’m not sure the view ll come as I wanted
[01/06/20, 11:38:52 PM] $h@lin!: Then? Ghost ll come and help me
[01/06/20, 11:38:57 PM] $h@lin!: Like Casper
‎[01/06/20, 11:39:26 PM] $h@lin!: ‎GIF omitted
[01/06/20, 11:39:28 PM] Mr. Buddy: 🥺
[01/06/20, 11:39:38 PM] $h@lin!: Why
‎[01/06/20, 11:39:55 PM] $h@lin!: ‎GIF omitted
[01/06/20, 11:41:54 PM] Mr. Buddy: Hmm
[01/06/20, 11:43:35 PM] $h@lin!: 👀
[01/06/20, 11:43:40 PM] $h@lin!: Something fishy
[01/06/20, 11:51:50 PM] $h@lin!: What u are doing
[02/06/20, 8:51:18 AM] Mr. Buddy: Good morning
[02/06/20, 10:46:22 AM] Mr. Buddy: Domt forget to check in man
[02/06/20, 10:50:11 AM] $h@lin!: 😭😭😭😭
[02/06/20, 10:50:16 AM] $h@lin!: I got up now
[02/06/20, 10:54:23 AM] $h@lin!: I have not received any mail
[02/06/20, 10:54:30 AM] $h@lin!: U received?
[02/06/20, 10:55:10 AM] Mr. Buddy: Hey salary vala mail man
[02/06/20, 10:55:19 AM] Mr. Buddy: Same old
[02/06/20, 10:55:25 AM] $h@lin!: When
[02/06/20, 10:55:40 AM] $h@lin!: I haven’t received any
[02/06/20, 10:55:45 AM] $h@lin!: Wait ll check in spam
[02/06/20, 10:57:54 AM] $h@lin!: Hey two mails have come yesterday
[02/06/20, 10:58:03 AM] $h@lin!: That have to fill some form also
[02/06/20, 10:58:23 AM] Mr. Buddy: No I didn't get any form submission
‎[02/06/20, 10:58:38 AM] Mr. Buddy: ‎image omitted
‎[02/06/20, 10:58:51 AM] Mr. Buddy: ‎image omitted
[02/06/20, 11:00:03 AM] $h@lin!: That clay work form🤣
[02/06/20, 11:00:16 AM] $h@lin!: If we are going then only we have to do?
[02/06/20, 11:00:36 AM] Mr. Buddy: I dunno man
[02/06/20, 11:01:32 AM] $h@lin!: Will check
[02/06/20, 11:01:52 AM] Mr. Buddy: Hmm
[02/06/20, 11:02:51 AM] $h@lin!: It seems like if we are going then only we have to
[02/06/20, 11:02:56 AM] $h@lin!: We will ask them only
[02/06/20, 11:03:11 AM] Mr. Buddy: Checked in???
[02/06/20, 11:03:26 AM] Mr. Buddy: Ohwww u hve started working on calendar
[02/06/20, 11:03:33 AM] Mr. Buddy: Not going to work
[02/06/20, 11:05:27 AM] $h@lin!: Office?
[02/06/20, 11:05:39 AM] $h@lin!: Yes 10:48🥺
[02/06/20, 11:05:49 AM] $h@lin!: Yeah that weekly view
[02/06/20, 11:06:04 AM] $h@lin!: Check in iPhone 11 that weekly view it’s too complicated
[02/06/20, 11:08:31 AM] Mr. Buddy: I tot of calling u
[02/06/20, 11:08:42 AM] Mr. Buddy: Wont
[02/06/20, 11:11:44 AM] $h@lin!: U would have know😭😭😭
[02/06/20, 11:11:52 AM] $h@lin!: 😡
[02/06/20, 11:13:07 AM] $h@lin!: Help! Help! Help!
[02/06/20, 11:13:44 AM] $h@lin!: https://youtu.be/0i5-252fRQU
‎[02/06/20, 11:13:44 AM] $h@lin!: ‎image omitted
[02/06/20, 11:14:25 AM] $h@lin!: See they are saying I’m looking like that small kid 👀
[02/06/20, 11:21:51 AM] Mr. Buddy: 😂😂😂😂
[02/06/20, 11:24:29 AM] $h@lin!: 😡
[02/06/20, 11:25:00 AM] $h@lin!: Hey we have uploaded latest build
[02/06/20, 11:25:04 AM] $h@lin!: Install
[02/06/20, 11:25:26 AM] $h@lin!: We have changed the entire library only
[02/06/20, 11:26:28 AM] $h@lin!: Actually in the group.. they were calling sanna packet
[02/06/20, 11:34:23 AM] Mr. Buddy: Rasna packet?
[02/06/20, 11:34:27 AM] Mr. Buddy: Okiee
[02/06/20, 11:36:07 AM] $h@lin!: Sanna means small
[02/06/20, 11:36:24 AM] Mr. Buddy: Melas packet?
[02/06/20, 11:36:34 AM] $h@lin!: 🤨
[02/06/20, 11:36:52 AM] $h@lin!: I thought u dnt know... but u are teasing!!
[02/06/20, 11:37:04 AM] $h@lin!: Ha u are dodda packer
[02/06/20, 11:37:04 AM] Mr. Buddy: Meals packet
[02/06/20, 11:37:07 AM] Mr. Buddy: 🤣🤣🤣
[02/06/20, 11:37:14 AM] Mr. Buddy: Meals
[02/06/20, 11:37:25 AM] $h@lin!: I’m not eatable
[02/06/20, 11:37:30 AM] $h@lin!: I’m human being
[02/06/20, 11:37:35 AM] $h@lin!: I can eat u
[02/06/20, 11:37:55 AM] Mr. Buddy: hey meals packet
[02/06/20, 11:37:58 AM] Mr. Buddy: chup
[02/06/20, 11:38:18 AM] Mr. Buddy: 🤫
[02/06/20, 11:39:20 AM] $h@lin!: 😤
[02/06/20, 11:39:36 AM] $h@lin!: Ok briyani packet
[02/06/20, 11:39:48 AM] Mr. Buddy: meals packet
[02/06/20, 11:40:26 AM] $h@lin!: Biriyani packet
[02/06/20, 11:41:37 AM] $h@lin!: I was going to bath!
[02/06/20, 11:43:08 AM] Mr. Buddy: Meals
[02/06/20, 11:43:36 AM] $h@lin!: Hungry?
[02/06/20, 11:43:57 AM] Mr. Buddy: Melas packet
‎[02/06/20, 11:47:14 AM] $h@lin!: ‎GIF omitted
[02/06/20, 11:48:45 AM] Mr. Buddy: Meals packet
‎[02/06/20, 11:49:08 AM] $h@lin!: ‎GIF omitted
[02/06/20, 11:49:40 AM] Mr. Buddy: Meals packet
[02/06/20, 11:50:02 AM] $h@lin!: Come to Bangalore
[02/06/20, 11:50:10 AM] Mr. Buddy: No
[02/06/20, 11:50:18 AM] $h@lin!: Ha
[02/06/20, 11:50:21 AM] $h@lin!: Come
[02/06/20, 11:50:34 AM] $h@lin!: U have to stay here 14days know!
[02/06/20, 11:50:48 AM] Mr. Buddy: No
[02/06/20, 11:50:55 AM] Mr. Buddy: I don't want to come
[02/06/20, 11:51:04 AM] $h@lin!: But u have to know
[02/06/20, 11:52:08 AM] Mr. Buddy: No I'm
[02/06/20, 11:55:06 AM] $h@lin!: I don’t want to come🥺
[02/06/20, 12:01:01 PM] Mr. Buddy: U have to use public transport, so however u can't go na
[02/06/20, 12:06:03 PM] $h@lin!: Yeah
[02/06/20, 12:06:13 PM] $h@lin!: Then I ll not come
